id,cell,soh,soc,temperature,M,mu,RMS_error
5201,1.0,99.0,40.0,35.0,27,0.35386387842100997,0.012932656161780935
5200,1.0,99.0,30.0,35.0,16,0.4906555941962919,0.13040722348824524
5206,1.0,99.0,30.0,45.0,5,0.4295355886508343,0.09278011741865931
5199,1.0,99.0,20.0,35.0,18,0.430950711301342,0.10312897202572725
5205,1.0,99.0,20.0,45.0,18,0.4774467575201471,0.11126108274181938
5198,1.0,99.0,10.0,35.0,23,0.47254468481972767,0.010452608865951259
5204,1.0,99.0,10.0,45.0,21,0.43669927328898805,0.011591464050219732
5184,1.0,98.0,60.0,25.0,1,-inf,0.41546467809169146
5182,1.0,98.0,40.0,25.0,26,0.4050191363673029,0.014820152873566833
5189,1.0,98.0,40.0,35.0,23,0.4884335063878511,0.012840170161893113
5195,1.0,98.0,40.0,45.0,25,0.3632478641150986,0.013558638733934114
5181,1.0,98.0,30.0,25.0,19,0.4745566157763611,0.09839487328713561
5188,1.0,98.0,30.0,35.0,18,0.4467018034525816,0.14223537840936795
5194,1.0,98.0,30.0,45.0,16,0.44089988516628376,0.10769109331693273
5180,1.0,98.0,20.0,25.0,18,0.41656216202533347,0.13577629922563816
5187,1.0,98.0,20.0,35.0,13,0.436244122042345,0.1062746641828507
5193,1.0,98.0,20.0,45.0,17,0.43438701718793427,0.1190894403998801
5192,1.0,98.0,10.0,45.0,22,0.4541130371997476,0.011083606151671255
5158,1.0,97.0,40.0,35.0,24,0.4458850092304526,0.0161862911861792
5170,1.0,97.0,40.0,45.0,21,0.4048372075304376,0.010445409190891238
5157,1.0,97.0,30.0,35.0,17,0.483828493751969,0.14283500360903786
5167,1.0,97.0,30.0,45.0,22,0.4640651841071288,0.10919811496060822
5168,1.0,97.0,30.0,45.0,3,0.3806917685500357,0.09675530645396613
5169,1.0,97.0,30.0,45.0,17,0.3936193449021873,0.1025964872902619
5156,1.0,97.0,20.0,35.0,16,0.496222496976896,0.11485912470204437
5164,1.0,97.0,20.0,45.0,4,0.3027014862705867,0.09439081873152275
5165,1.0,97.0,20.0,45.0,16,0.4751214982889662,0.10547428106605061
5166,1.0,97.0,20.0,45.0,17,0.4492055910004925,0.11010750797419201
5162,1.0,97.0,10.0,45.0,21,0.45531092493068115,0.010891063899731783
5163,1.0,97.0,10.0,45.0,21,0.4857486388725225,0.011170132532327855
5117,1.0,96.0,60.0,25.0,1,-inf,0.4113446671484678
5123,1.0,96.0,50.0,35.0,26,0.36186629528777325,0.012633812679196022
5115,1.0,96.0,40.0,25.0,22,0.43549012640706797,0.014870672692400451
5122,1.0,96.0,40.0,35.0,25,0.36664159708374056,0.011565773533459046
5114,1.0,96.0,30.0,25.0,17,0.44482540209051225,0.11618660870618906
5121,1.0,96.0,30.0,35.0,16,0.4739483958467351,0.12075422064340006
5135,1.0,96.0,30.0,45.0,16,0.45000566138299547,0.11744749832034516
5136,1.0,96.0,30.0,45.0,16,0.4590617834755053,0.09964822060203457
5137,1.0,96.0,30.0,45.0,15,0.357702918675864,0.10329955052371396
5138,1.0,96.0,30.0,45.0,16,0.45768128116169227,0.11628453905617073
5139,1.0,96.0,30.0,45.0,16,0.45880905891748847,0.1168152828394305
5113,1.0,96.0,20.0,25.0,16,0.4983511512932852,0.15909636392265228
5120,1.0,96.0,20.0,35.0,16,0.4938802762975275,0.11538635498214019
5130,1.0,96.0,20.0,45.0,16,0.4858297448808995,0.11194923291249051
5131,1.0,96.0,20.0,45.0,10,0.49612253857489086,0.09316449241888974
5132,1.0,96.0,20.0,45.0,17,0.42290266571104806,0.09887649034846456
5133,1.0,96.0,20.0,45.0,16,0.4780161852502999,0.10967272559426948
5134,1.0,96.0,20.0,45.0,17,0.4500653438972402,0.11079060037046769
5126,1.0,96.0,10.0,45.0,21,0.4897319634661571,0.010407192754260802
5127,1.0,96.0,10.0,45.0,22,0.45255419146347386,0.010133967082444765
5066,1.0,95.0,50.0,35.0,26,0.44436228704425784,0.013273008626061416
5061,1.0,95.0,40.0,35.0,24,0.34941182188659226,0.011442733106929608
5062,1.0,95.0,40.0,35.0,26,0.38204875726836607,0.012242860323463523
5063,1.0,95.0,40.0,35.0,22,0.42287021866092644,0.012288044906078812
5093,1.0,95.0,40.0,45.0,22,0.4804345720914891,0.010245395582275375
5094,1.0,95.0,40.0,45.0,21,0.48115885962785687,0.010797219600586239
5097,1.0,95.0,40.0,45.0,24,0.4712349199349197,0.010083291986187433
5058,1.0,95.0,30.0,35.0,1,-inf,0.11843105319702038
5059,1.0,95.0,30.0,35.0,14,0.3468202526498507,0.12197335856243992
5060,1.0,95.0,30.0,35.0,3,-0.00035921795611404406,0.1173257572202898
5084,1.0,95.0,30.0,45.0,18,0.4930361773315419,0.11299549772580472
5085,1.0,95.0,30.0,45.0,3,0.3115538376869702,0.10516816968498664
5086,1.0,95.0,30.0,45.0,18,0.4750197057582136,0.10582075253979394
5087,1.0,95.0,30.0,45.0,16,0.4426125251310665,0.10432512534951392
5088,1.0,95.0,30.0,45.0,16,0.48505287959041476,0.11906244218842223
5089,1.0,95.0,30.0,45.0,3,0.45636286299385254,0.10851489247279235
5090,1.0,95.0,30.0,45.0,16,0.44118007227519895,0.10810569869363992
5055,1.0,95.0,20.0,35.0,17,0.4395614367776498,0.11377692357647802
5056,1.0,95.0,20.0,35.0,18,0.40870146308480937,0.10586532895337199
5057,1.0,95.0,20.0,35.0,16,0.4916317442229742,0.1163804988645934
5077,1.0,95.0,20.0,45.0,16,0.47839996093901815,0.10576625525440313
5078,1.0,95.0,20.0,45.0,4,0.4927737195539236,0.09438300659502559
5079,1.0,95.0,20.0,45.0,3,0.45727421104654176,0.0977030960351881
5080,1.0,95.0,20.0,45.0,17,0.43427498762880745,0.11265817615369349
5081,1.0,95.0,20.0,45.0,17,0.44618291017834644,0.11237281567923521
5082,1.0,95.0,20.0,45.0,17,0.43905919396167414,0.11170603811768821
5083,1.0,95.0,20.0,45.0,17,0.4329667182017165,0.1133781817868769
5073,1.0,95.0,10.0,45.0,21,0.4939038379442935,0.010319554268254613
5074,1.0,95.0,10.0,45.0,22,0.43600741452781955,0.01012115391069146
5075,1.0,95.0,10.0,45.0,22,0.4560240173832697,0.010044470198849905
4972,1.0,94.0,60.0,25.0,1,-inf,0.4148871785094121
4993,1.0,94.0,50.0,35.0,26,0.3639691136201896,0.010724675584682963
4970,1.0,94.0,40.0,25.0,22,0.4924125366870399,0.014777552771712861
4986,1.0,94.0,40.0,35.0,22,0.45356600315095663,0.01215375339943587
4987,1.0,94.0,40.0,35.0,24,0.4655478212925266,0.011390919488762535
4988,1.0,94.0,40.0,35.0,24,0.40726997069616533,0.012104928975642934
4989,1.0,94.0,40.0,35.0,23,0.42653894728946695,0.011880562591001696
5025,1.0,94.0,40.0,45.0,25,0.4715440625484719,0.01010792237635406
5026,1.0,94.0,40.0,45.0,21,0.45575781970052276,0.010680758245782565
5028,1.0,94.0,40.0,45.0,21,0.49141162273356154,0.010011911317633813
5030,1.0,94.0,40.0,45.0,21,0.48100774274605484,0.01022848322932317
5031,1.0,94.0,40.0,45.0,21,0.46693836037611713,0.010706783515801588
4969,1.0,94.0,30.0,25.0,6,0.46564959167933506,0.11011889222543736
4982,1.0,94.0,30.0,35.0,3,-0.0007478696964080545,0.11731580818745449
4983,1.0,94.0,30.0,35.0,1,-inf,0.11872244799261797
4984,1.0,94.0,30.0,35.0,4,0.4494087768069812,0.11123018530316206
4985,1.0,94.0,30.0,35.0,4,0.4954006945208642,0.11020853308014232
5016,1.0,94.0,30.0,45.0,16,0.44677475720826876,0.11090034511293317
5017,1.0,94.0,30.0,45.0,5,0.46689009845105156,0.1074906625624404
5018,1.0,94.0,30.0,45.0,16,0.4563512425195666,0.11232221161419345
5019,1.0,94.0,30.0,45.0,16,0.4557861073769799,0.11342563361442067
5020,1.0,94.0,30.0,45.0,16,0.4756454177829027,0.11627014335890021
5021,1.0,94.0,30.0,45.0,16,0.4525266091463461,0.10038890168352312
5022,1.0,94.0,30.0,45.0,16,0.4495377533468434,0.10170354721725094
5023,1.0,94.0,30.0,45.0,15,0.3358550657138052,0.10359424251857498
5024,1.0,94.0,30.0,45.0,4,0.4782830827061959,0.09239728242307474
4968,1.0,94.0,20.0,25.0,4,0.43098740001755453,0.14429851437713584
4978,1.0,94.0,20.0,35.0,16,0.49143678714296923,0.11836231284622385
4979,1.0,94.0,20.0,35.0,18,0.41721903693173656,0.10754552815771677
4980,1.0,94.0,20.0,35.0,3,0.13410657125879377,0.11682720108150951
4981,1.0,94.0,20.0,35.0,17,0.48740745645531725,0.12839930172270325
5007,1.0,94.0,20.0,45.0,16,0.47421268989086596,0.11019536255434378
5008,1.0,94.0,20.0,45.0,17,0.43641999903746787,0.11580830105861228
5009,1.0,94.0,20.0,45.0,16,0.4700729380699168,0.11191097193603329
5010,1.0,94.0,20.0,45.0,18,0.4635873482450361,0.1107692870575445
5011,1.0,94.0,20.0,45.0,16,0.48230039744139297,0.11439715441723973
5012,1.0,94.0,20.0,45.0,17,0.45884161760886943,0.10045461373812618
5013,1.0,94.0,20.0,45.0,17,0.41766612389811464,0.10187062232213306
5014,1.0,94.0,20.0,45.0,20,0.4928678336246065,0.10346313962492183
5015,1.0,94.0,20.0,45.0,17,0.43856636426824513,0.11569301865881086
5003,1.0,94.0,10.0,45.0,21,0.47420213762188435,0.010222635341004569
5004,1.0,94.0,10.0,45.0,23,0.45948977093615173,0.010172479672341313
4855,1.0,93.0,60.0,25.0,1,-inf,0.42057673615681157
4856,1.0,93.0,60.0,25.0,3,-0.2720355696980714,0.4423659402064538
4881,1.0,93.0,50.0,35.0,26,0.4497548634317011,0.026379833834328053
4882,1.0,93.0,50.0,35.0,27,0.2881994694168323,0.025943585960691445
4943,1.0,93.0,50.0,45.0,26,0.37513822097355476,0.01148796434004867
4945,1.0,93.0,50.0,45.0,28,0.4770508841373221,0.011602699419363314
4947,1.0,93.0,50.0,45.0,25,0.4690561441258114,0.011505242651193608
4851,1.0,93.0,40.0,25.0,21,0.4939890843011069,0.015999800972949077
4852,1.0,93.0,40.0,25.0,23,0.4821405946797761,0.015053856255446151
4874,1.0,93.0,40.0,35.0,24,0.3429262284723368,0.011590332906138987
4875,1.0,93.0,40.0,35.0,22,0.46174681225094716,0.011424634042008235
4876,1.0,93.0,40.0,35.0,22,0.39120631180849585,0.01790157615716788
4877,1.0,93.0,40.0,35.0,26,0.482692768230654,0.01225191182475638
4878,1.0,93.0,40.0,35.0,23,0.4086968996952737,0.01181548499437933
4928,1.0,93.0,40.0,45.0,21,0.47346763078608634,0.010446428262436977
4933,1.0,93.0,40.0,45.0,21,0.4552678019634768,0.015527209763306245
4934,1.0,93.0,40.0,45.0,20,0.4938967769187327,0.01599192153071057
4936,1.0,93.0,40.0,45.0,21,0.4345354857897955,0.011186127812718306
