Cell,f_1,r_1,i_1,f_2,r_2,i_2,f_3,r_3,i_3,f_4,r_4,i_4,f_5,r_5,i_5,f_6,r_6,i_6,f_7,r_7,i_7,f_8,r_8,i_8,f_9,r_9,i_9,f_10,r_10,i_10,f_11,r_11,i_11,f_12,r_12,i_12,f_13,r_13,i_13,f_14,r_14,i_14,f_15,r_15,i_15,f_16,r_16,i_16,f_17,r_17,i_17,f_18,r_18,i_18,f_19,r_19,i_19,f_20,r_20,i_20,f_21,r_21,i_21,f_22,r_22,i_22,f_23,r_23,i_23,f_24,r_24,i_24,f_25,r_25,i_25,f_26,r_26,i_26,f_27,r_27,i_27,f_28,r_28,i_28,f_29,r_29,i_29,f_30,r_30,i_30,f_31,r_31,i_31,f_32,r_32,i_32,f_33,r_33,i_33,f_34,r_34,i_34,f_35,r_35,i_35,f_36,r_36,i_36,f_37,r_37,i_37,f_38,r_38,i_38,f_39,r_39,i_39,f_40,r_40,i_40,f_41,r_41,i_41,f_42,r_42,i_42,f_43,r_43,i_43,f_44,r_44,i_44,f_45,r_45,i_45,f_46,r_46,i_46,f_47,r_47,i_47,f_48,r_48,i_48,f_49,r_49,i_49,f_50,r_50,i_50,f_51,r_51,i_51,f_52,r_52,i_52,f_53,r_53,i_53,f_54,r_54,i_54,f_55,r_55,i_55,f_56,r_56,i_56,f_57,r_57,i_57,f_58,r_58,i_58,f_59,r_59,i_59,f_60,r_60,i_60,soh
5,20004.453,0.37181,-0.02083,15829.126,0.37908,-0.00412,12516.703,0.3859,0.00953,9909.4424,0.3935,0.02146,7835.48,0.40243,0.03079,6217.2461,0.40874,0.03871,4905.291,0.41886,0.04596,3881.2737,0.42727,0.05407,3070.9827,0.43715,0.06064,2430.7778,0.44796,0.06816,1923.1537,0.45798,0.07251,1522.4358,0.46971,0.07983,1203.8446,0.48048,0.08522,952.86591,0.49451,0.09008,754.27557,0.50802,0.09916,596.71857,0.52341,0.10428,471.96338,0.53857,0.10957,373.20856,0.55533,0.11548,295.47278,0.57362,0.12265,233.87738,0.59197,0.12773,185.05922,0.61062,0.13389,146.35823,0.63213,0.14031,115.77804,0.65274,0.14684,91.6721,0.67433,0.15269,72.51701,0.69607,0.15866,57.36816,0.72049,0.16649,45.3629,0.74247,0.17311,35.93134,0.76578,0.18321,28.40909,0.79157,0.19457,22.48202,0.81994,0.21028,17.79613,0.85321,0.22403,14.06813,0.89234,0.23925,11.1448,0.93626,0.24925,8.81772,0.98331,0.25764,6.97545,1.03886,0.25768,5.5173,1.08438,0.24762,4.36941,1.13455,0.23788,3.45686,1.17283,0.21995,2.73547,1.21063,0.19638,2.16054,1.24083,0.17481,1.70952,1.2613,0.15432,1.35352,1.27889,0.13486,1.07079,1.29327,0.11829,0.84734,1.30403,0.1057,0.67072,1.3129,0.09636,0.53067,1.31951,0.08854,0.41976,1.32636,0.0841,0.33183,1.33367,0.08376,0.26261,1.34058,0.08584,0.20791,1.34687,0.09142,0.16452,1.35323,0.09777,0.13007,1.36251,0.10696,0.10309,1.37515,0.12031,0.08153,1.38777,0.14054,0.06443,1.40125,0.16543,0.05102,1.41539,0.18818,0.04042,1.44119,0.21387,0.03192,1.47454,0.25147,0.02528,1.5095,0.29559,0.01999,1.54473,0.33756,98
5,20004.453,0.34899,-0.02959,15829.126,0.35395,-0.01233,12516.703,0.35997,0.0028,9909.4424,0.36555,0.01569,7835.48,0.37216,0.02627,6217.2461,0.37968,0.03371,4905.291,0.39,0.04398,3881.2737,0.39589,0.05094,3070.9827,0.40658,0.05886,2430.7778,0.4158,0.06295,1923.1537,0.42648,0.07022,1522.4358,0.43818,0.07639,1203.8446,0.45108,0.08228,952.86591,0.46467,0.08869,754.27557,0.47668,0.09392,596.71857,0.49155,0.09937,471.96338,0.50685,0.10423,373.20856,0.52371,0.11041,295.47278,0.5432,0.11574,233.87738,0.56062,0.11951,185.05922,0.57866,0.12641,146.35823,0.59965,0.13174,115.77804,0.62153,0.13659,91.6721,0.63902,0.14172,72.51701,0.66425,0.14847,57.36816,0.68287,0.15494,45.3629,0.70725,0.16148,35.93134,0.74331,0.15887,28.40909,0.77194,0.16813,22.48202,0.80425,0.16227,17.79613,0.8344,0.14871,14.06813,0.84317,0.1478,11.1448,0.89453,0.12918,8.81772,0.89018,0.13694,6.97545,0.89996,0.09573,5.5173,0.94867,0.07007,4.36941,0.979,0.09549,3.45686,0.95826,0.12029,2.73547,0.91638,0.10315,2.16054,0.89981,0.04524,1.70952,0.93426,-0.02117,1.35352,1.0152,-0.04903,1.07079,1.10212,-0.01091,0.84734,1.14579,0.08833,0.67072,1.11747,0.19474,0.53067,0.99837,0.27349,0.41976,0.83698,0.24691,0.33183,0.72063,0.09867,0.26261,0.73147,-0.11963,0.20791,0.90372,-0.30697,0.16452,1.20347,-0.35592,0.13007,1.51523,-0.19627,0.10309,1.70028,0.14878,0.08153,1.64601,0.58288,0.06443,1.39668,0.91658,0.05102,0.88172,1.05259,0.04042,0.35086,0.80575,0.03192,0.02774,0.19099,0.02528,0.17526,-0.66329,0.01999,0.99215,-1.35826,98
5,20004.453,0.3463,-0.02711,15829.126,0.35399,-0.01199,12516.703,0.35952,0.00425,9909.4424,0.36615,0.01552,7835.48,0.37339,0.02541,6217.2461,0.38047,0.03407,4905.291,0.38829,0.04176,3881.2737,0.3961,0.05172,3070.9827,0.40643,0.05707,2430.7778,0.41652,0.06304,1923.1537,0.42544,0.07122,1522.4358,0.43786,0.07598,1203.8446,0.45104,0.08195,952.86591,0.46428,0.08798,754.27557,0.47656,0.09573,596.71857,0.49167,0.10096,471.96338,0.50782,0.1039,373.20856,0.52338,0.11126,295.47278,0.54169,0.11711,233.87738,0.55981,0.12152,185.05922,0.57981,0.12727,146.35823,0.5983,0.13221,115.77804,0.61841,0.13903,91.6721,0.63836,0.14412,72.51701,0.66288,0.14905,57.36816,0.68831,0.15292,45.3629,0.71288,0.15777,35.93134,0.73808,0.16094,28.40909,0.76916,0.16046,22.48202,0.79842,0.15765,17.79613,0.82711,0.15136,14.06813,0.85454,0.14198,11.1448,0.87756,0.13008,8.81772,0.89804,0.11773,6.97545,0.91414,0.10423,5.5173,0.92663,0.09337,4.36941,0.9383,0.08201,3.45686,0.94658,0.07517,2.73547,0.95493,0.06778,2.16054,0.96103,0.06182,1.70952,0.96731,0.05722,1.35352,0.97239,0.05474,1.07079,0.9776,0.05394,0.84734,0.98267,0.05284,0.67072,0.98703,0.05414,0.53067,0.99232,0.05468,0.41976,0.99804,0.05809,0.33183,1.00358,0.06363,0.26261,1.00868,0.06968,0.20791,1.01588,0.07655,0.16452,1.02537,0.08691,0.13007,1.03499,0.10132,0.10309,1.04307,0.11869,0.08153,1.05103,0.13602,0.06443,1.06308,0.15592,0.05102,1.08167,0.17752,0.04042,1.102,0.20654,0.03192,1.12451,0.23916,0.02528,1.1537,0.27151,0.01999,1.19608,0.31109,98
5,20004.453,0.34572,-0.02799,15829.126,0.35152,-0.00982,12516.703,0.35716,0.0043,9909.4424,0.36535,0.01476,7835.48,0.37213,0.02654,6217.2461,0.37817,0.03566,4905.291,0.38776,0.04344,3881.2737,0.39675,0.05004,3070.9827,0.4042,0.05693,2430.7778,0.41696,0.06387,1923.1537,0.42819,0.06954,1522.4358,0.43848,0.07584,1203.8446,0.4506,0.08258,952.86591,0.46228,0.08695,754.27557,0.47761,0.09454,596.71857,0.49255,0.10011,471.96338,0.5075,0.10495,373.20856,0.52264,0.11098,295.47278,0.54084,0.11736,233.87738,0.55965,0.12018,185.05922,0.57795,0.12546,146.35823,0.59661,0.13077,115.77804,0.61664,0.13717,91.6721,0.63741,0.14124,72.51701,0.65931,0.14797,57.36816,0.68287,0.15288,45.3629,0.71098,0.1573,35.93134,0.73785,0.15954,28.40909,0.76611,0.15962,22.48202,0.79472,0.15587,17.79613,0.82389,0.14943,14.06813,0.85037,0.14176,11.1448,0.87468,0.1277,8.81772,0.89205,0.11844,6.97545,0.90875,0.10378,5.5173,0.92145,0.09078,4.36941,0.93474,0.08269,3.45686,0.94225,0.0782,2.73547,0.94784,0.06974,2.16054,0.952,0.06301,1.70952,0.95943,0.0563,1.35352,0.9667,0.05111,1.07079,0.97793,0.05016,0.84734,0.98826,0.05391,0.67072,0.99466,0.06164,0.53067,0.99423,0.07145,0.41976,0.98988,0.07671,0.33183,0.98707,0.07649,0.26261,0.98956,0.07245,0.20791,1.00009,0.06812,0.16452,1.019,0.07016,0.13007,1.0455,0.08278,0.10309,1.07089,0.10995,0.08153,1.08895,0.15017,0.06443,1.09538,0.19149,0.05102,1.08786,0.22852,0.04042,1.08153,0.25031,0.03192,1.0916,0.26341,0.02528,1.12091,0.27726,0.01999,1.16741,0.29927,98
5,20004.453,0.35034,-0.02407,15829.126,0.35724,-0.00714,12516.703,0.36385,0.00556,9909.4424,0.37172,0.01752,7835.48,0.37715,0.02746,6217.2461,0.38434,0.03733,4905.291,0.39394,0.04455,3881.2737,0.40191,0.05183,3070.9827,0.4122,0.05827,2430.7778,0.42217,0.06464,1923.1537,0.4321,0.07134,1522.4358,0.44364,0.07563,1203.8446,0.45698,0.08099,952.86591,0.46805,0.08757,754.27557,0.48392,0.09194,596.71857,0.49722,0.10037,471.96338,0.51177,0.10358,373.20856,0.52815,0.11009,295.47278,0.54469,0.11525,233.87738,0.56179,0.12142,185.05922,0.57985,0.12631,146.35823,0.59905,0.13202,115.77804,0.61893,0.13747,91.6721,0.64095,0.14366,72.51701,0.66305,0.14941,57.36816,0.68851,0.15564,45.3629,0.71497,0.15985,35.93134,0.74176,0.1629,28.40909,0.77283,0.16283,22.48202,0.80232,0.16148,17.79613,0.82979,0.15398,14.06813,0.85978,0.14717,11.1448,0.88209,0.13415,8.81772,0.90572,0.12293,6.97545,0.92032,0.11326,5.5173,0.93211,0.10019,4.36941,0.94651,0.08806,3.45686,0.95952,0.08053,2.73547,0.96989,0.07724,2.16054,0.97507,0.07449,1.70952,0.97646,0.07074,1.35352,0.97961,0.06413,1.07079,0.98584,0.05647,0.84734,0.99715,0.04918,0.67072,1.01248,0.04829,0.53067,1.03247,0.05604,0.41976,1.04647,0.0768,0.33183,1.0462,0.10375,0.26261,1.03,0.12562,0.20791,1.00519,0.13007,0.16452,0.98522,0.112,0.13007,0.9892,0.07524,0.10309,1.03168,0.03426,0.08153,1.11983,0.01635,0.06443,1.2325,0.04909,0.05102,1.35047,0.1723,0.04042,1.39515,0.38189,0.03192,1.30952,0.61269,0.02528,1.07779,0.76343,0.01999,0.75293,0.7326,98
5,20004.453,0.36139,-0.02069,15829.126,0.3681,-0.00417,12516.703,0.37636,0.00898,9909.4424,0.38263,0.01936,7835.48,0.38838,0.02849,6217.2461,0.39949,0.03821,4905.291,0.40875,0.04573,3881.2737,0.41566,0.0519,3070.9827,0.42465,0.06095,2430.7778,0.43501,0.06648,1923.1537,0.44772,0.07262,1522.4358,0.45789,0.07815,1203.8446,0.47151,0.08502,952.86591,0.48395,0.09106,754.27557,0.49938,0.09669,596.71857,0.51513,0.10337,471.96338,0.53006,0.10951,373.20856,0.5462,0.11687,295.47278,0.56589,0.12254,233.87738,0.58418,0.12816,185.05922,0.60274,0.1354,146.35823,0.62491,0.14039,115.77804,0.64531,0.14627,91.6721,0.66686,0.15321,72.51701,0.68852,0.15657,57.36816,0.71461,0.16514,45.3629,0.73887,0.17348,35.93134,0.75713,0.18265,28.40909,0.785,0.18978,22.48202,0.81255,0.20131,17.79613,0.84412,0.22082,14.06813,0.89299,0.23208,11.1448,0.92449,0.23692,8.81772,0.98292,0.23661,6.97545,1.0285,0.24679,5.5173,1.05988,0.23154,4.36941,1.09843,0.20211,3.45686,1.15081,0.1728,2.73547,1.19623,0.16582,2.16054,1.21792,0.16781,1.70952,1.2124,0.16185,1.35352,1.19794,0.13912,1.07079,1.18931,0.09664,0.84734,1.20314,0.04739,0.67072,1.23692,0.012,0.53067,1.29126,0.00393,0.41976,1.33888,0.03608,0.33183,1.35365,0.09802,0.26261,1.31989,0.16126,0.20791,1.24889,0.19333,0.16452,1.16473,0.17431,0.13007,1.10648,0.10161,0.10309,1.10702,-0.00365,0.08153,1.19055,-0.1032,0.06443,1.33294,-0.14292,0.05102,1.54556,-0.07329,0.04042,1.71492,0.15137,0.03192,1.73043,0.48165,0.02528,1.53278,0.77883,0.01999,1.1756,0.91081,98
5,20004.453,0.36145,-0.02229,15829.126,0.36755,-0.00385,12516.703,0.37587,0.00832,9909.4424,0.38398,0.0191,7835.48,0.39144,0.0296,6217.2461,0.39879,0.03906,4905.291,0.40799,0.04696,3881.2737,0.41531,0.05382,3070.9827,0.4249,0.05892,2430.7778,0.43624,0.06605,1923.1537,0.44677,0.07192,1522.4358,0.45928,0.07928,1203.8446,0.47014,0.08527,952.86591,0.48509,0.09218,754.27557,0.49741,0.09753,596.71857,0.51305,0.10287,471.96338,0.5293,0.1095,373.20856,0.54509,0.11503,295.47278,0.56392,0.12185,233.87738,0.581,0.12912,185.05922,0.60116,0.13322,146.35823,0.621,0.13916,115.77804,0.64297,0.14533,91.6721,0.66487,0.15225,72.51701,0.68591,0.15804,57.36816,0.70957,0.16553,45.3629,0.73235,0.17235,35.93134,0.75584,0.18266,28.40909,0.7816,0.19581,22.48202,0.80965,0.2081,17.79613,0.84183,0.22467,14.06813,0.88122,0.24007,11.1448,0.92557,0.25204,8.81772,0.972,0.26028,6.97545,1.02218,0.265,5.5173,1.07531,0.25537,4.36941,1.12121,0.24626,3.45686,1.16589,0.22467,2.73547,1.20489,0.20544,2.16054,1.23385,0.18356,1.70952,1.25697,0.15992,1.35352,1.27709,0.13999,1.07079,1.29098,0.12375,0.84734,1.30286,0.11091,0.67072,1.31126,0.10004,0.53067,1.31967,0.09165,0.41976,1.32782,0.08784,0.33183,1.33463,0.08708,0.26261,1.34054,0.08899,0.20791,1.34668,0.09252,0.16452,1.35543,0.09784,0.13007,1.36545,0.1084,0.10309,1.37572,0.12358,0.08153,1.3854,0.14072,0.06443,1.40015,0.16067,0.05102,1.42259,0.18312,0.04042,1.44975,0.21679,0.03192,1.47616,0.25617,0.02528,1.50442,0.2906,0.01999,1.54724,0.32116,98
5,20004.453,0.38432,-0.01975,15829.126,0.39133,-0.00291,12516.703,0.39688,0.00974,9909.4424,0.40641,0.02171,7835.48,0.41338,0.03009,6217.2461,0.42111,0.03918,4905.291,0.43141,0.04816,3881.2737,0.43902,0.05487,3070.9827,0.44894,0.06088,2430.7778,0.46032,0.068,1923.1537,0.46996,0.07428,1522.4358,0.48197,0.08044,1203.8446,0.49445,0.08548,952.86591,0.50829,0.09218,754.27557,0.52304,0.09836,596.71857,0.53769,0.10465,471.96338,0.55458,0.11078,373.20856,0.57125,0.11778,295.47278,0.58844,0.12294,233.87738,0.60765,0.13016,185.05922,0.62765,0.13452,146.35823,0.64796,0.14257,115.77804,0.66868,0.14787,91.6721,0.69234,0.15403,72.51701,0.71383,0.16051,57.36816,0.73613,0.16659,45.3629,0.75986,0.17505,35.93134,0.78387,0.1854,28.40909,0.80967,0.19572,22.48202,0.84068,0.20936,17.79613,0.87379,0.22504,14.06813,0.91368,0.23893,11.1448,0.9577,0.24912,8.81772,1.00643,0.25398,6.97545,1.05451,0.25678,5.5173,1.10607,0.24337,4.36941,1.14792,0.23299,3.45686,1.18786,0.2108,2.73547,1.22346,0.19049,2.16054,1.25033,0.16951,1.70952,1.27035,0.14806,1.35352,1.28752,0.12935,1.07079,1.30039,0.11365,0.84734,1.31031,0.10216,0.67072,1.31865,0.09327,0.53067,1.32563,0.08619,0.41976,1.33282,0.0828,0.33183,1.33925,0.08292,0.26261,1.34488,0.0861,0.20791,1.35051,0.09016,0.16452,1.35827,0.09634,0.13007,1.36889,0.10798,0.10309,1.3783,0.12436,0.08153,1.38803,0.14264,0.06443,1.40225,0.16446,0.05102,1.42454,0.1875,0.04042,1.45257,0.22218,0.03192,1.4803,0.26431,0.02528,1.5092,0.30222,0.01999,1.55052,0.33651,96
5,20004.453,0.36515,-0.02907,15829.126,0.3691,-0.01183,12516.703,0.37618,0.00429,9909.4424,0.38015,0.01611,7835.48,0.387,0.02666,6217.2461,0.39654,0.03596,4905.291,0.40602,0.04238,3881.2737,0.41358,0.05056,3070.9827,0.42211,0.05761,2430.7778,0.4313,0.06354,1923.1537,0.44468,0.07064,1522.4358,0.45419,0.07573,1203.8446,0.46753,0.08199,952.86591,0.4804,0.08846,754.27557,0.49507,0.09457,596.71857,0.51138,0.10084,471.96338,0.52565,0.10623,373.20856,0.54196,0.11308,295.47278,0.55982,0.1173,233.87738,0.57858,0.12261,185.05922,0.59866,0.12869,146.35823,0.61469,0.13544,115.77804,0.63655,0.1408,91.6721,0.65858,0.14618,72.51701,0.67908,0.15518,57.36816,0.6996,0.15426,45.3629,0.72421,0.15883,35.93134,0.75974,0.16868,28.40909,0.78259,0.17074,22.48202,0.81666,0.17313,17.79613,0.85767,0.16565,14.06813,0.87584,0.13916,11.1448,0.91087,0.15379,8.81772,0.90942,0.11732,6.97545,0.95434,0.09052,5.5173,0.98733,0.1118,4.36941,0.96331,0.12451,3.45686,0.93529,0.08978,2.73547,0.94654,0.02987,2.16054,1.0033,-0.00945,1.70952,1.07633,0.00485,1.35352,1.11827,0.07335,1.07079,1.09489,0.15957,0.84734,1.00397,0.20964,0.67072,0.89821,0.19193,0.53067,0.80911,0.07753,0.41976,0.82149,-0.09416,0.33183,0.96638,-0.2417,0.26261,1.20668,-0.27,0.20791,1.44981,-0.12806,0.16452,1.57614,0.16479,0.13007,1.50018,0.50702,0.10309,1.21217,0.74863,0.08153,0.81269,0.76432,0.06443,0.48502,0.55717,0.05102,0.33245,0.06144,0.04042,0.56816,-0.51537,0.03192,1.22918,-0.94625,0.02528,2.22113,-0.92563,0.01999,3.1271,-0.20062,96
5,20004.453,0.36317,-0.02875,15829.126,0.36888,-0.01035,12516.703,0.37549,0.00429,9909.4424,0.38305,0.01734,7835.48,0.3922,0.02673,6217.2461,0.39717,0.03532,4905.291,0.40625,0.04323,3881.2737,0.41517,0.04996,3070.9827,0.42411,0.05799,2430.7778,0.43423,0.06474,1923.1537,0.44486,0.07208,1522.4358,0.45588,0.07717,1203.8446,0.46899,0.08325,952.86591,0.48384,0.09014,754.27557,0.49436,0.09442,596.71857,0.51081,0.10256,471.96338,0.52686,0.10779,373.20856,0.54212,0.11233,295.47278,0.56105,0.11792,233.87738,0.57771,0.1241,185.05922,0.59743,0.12881,146.35823,0.61779,0.13367,115.77804,0.63685,0.13909,91.6721,0.6581,0.144,72.51701,0.68357,0.14974,57.36816,0.70598,0.15622,45.3629,0.73242,0.16018,35.93134,0.76036,0.16395,28.40909,0.78968,0.16418,22.48202,0.82023,0.16202,17.79613,0.84986,0.15462,14.06813,0.8771,0.14426,11.1448,0.90132,0.1339,8.81772,0.92103,0.12042,6.97545,0.93827,0.10911,5.5173,0.95138,0.09624,4.36941,0.96225,0.08524,3.45686,0.97196,0.07563,2.73547,0.97994,0.06914,2.16054,0.98732,0.06332,1.70952,0.99226,0.05856,1.35352,0.99805,0.05522,1.07079,1.00307,0.05411,0.84734,1.00855,0.05434,0.67072,1.0129,0.0548,0.53067,1.01824,0.0558,0.41976,1.02399,0.05891,0.33183,1.02964,0.0644,0.26261,1.03501,0.07079,0.20791,1.04191,0.07801,0.16452,1.05129,0.08792,0.13007,1.06116,0.10184,0.10309,1.07082,0.11965,0.08153,1.07974,0.13783,0.06443,1.09127,0.15947,0.05102,1.10866,0.1801,0.04042,1.13084,0.2088,0.03192,1.15426,0.24306,0.02528,1.18156,0.2775,0.01999,1.22101,0.31452,96
