id,cell,soh,soc,temperature,M,mu,RMS_error
5203,1.0,99.0,90.0,35.0,23,0.3985687944301939,0.008553444345960849
5209,1.0,99.0,90.0,45.0,22,0.4384632948038478,0.008065728306074089
5202,1.0,99.0,50.0,35.0,27,0.29318142937577185,0.002724711186892218
5208,1.0,99.0,50.0,45.0,25,0.47267553934663586,0.0019846981744908792
5201,1.0,99.0,40.0,35.0,27,0.35386387842100997,0.012932656161780935
5207,1.0,99.0,40.0,45.0,24,0.38503100444349103,0.009668558352550346
5198,1.0,99.0,10.0,35.0,23,0.47254468481972767,0.010452608865951259
5204,1.0,99.0,10.0,45.0,21,0.43669927328898805,0.011591464050219732
5185,1.0,98.0,90.0,25.0,28,0.4856712868988816,0.007106386502636849
5191,1.0,98.0,90.0,35.0,24,0.48307458969859673,0.007120226317851456
5197,1.0,98.0,90.0,45.0,22,0.4327917927422641,0.009004805346095126
5183,1.0,98.0,50.0,25.0,28,0.44385906795597607,0.002812274144442489
5190,1.0,98.0,50.0,35.0,26,0.4902047869034194,0.002656505528355109
5196,1.0,98.0,50.0,45.0,25,0.49679030558274373,0.0022671654455428784
5182,1.0,98.0,40.0,25.0,26,0.4050191363673029,0.014820152873566833
5189,1.0,98.0,40.0,35.0,23,0.4884335063878511,0.012840170161893113
5195,1.0,98.0,40.0,45.0,25,0.3632478641150986,0.013558638733934114
5179,1.0,98.0,10.0,25.0,27,0.48533532597302054,0.006634818439379279
5186,1.0,98.0,10.0,35.0,28,0.4949817622310353,0.00808072459350663
5192,1.0,98.0,10.0,45.0,22,0.4541130371997476,0.011083606151671255
5160,1.0,97.0,90.0,35.0,25,0.4982768878389007,0.005451786777367872
5176,1.0,97.0,90.0,45.0,22,0.4539943390948621,0.008697645095677406
5177,1.0,97.0,90.0,45.0,23,0.4861651430754673,0.008314239688857769
5178,1.0,97.0,90.0,45.0,23,0.4230446370067219,0.007174799050906643
5159,1.0,97.0,50.0,35.0,25,0.45893951894863816,0.0038704009608893732
5173,1.0,97.0,50.0,45.0,26,0.3158324068933839,0.002200847710485851
5174,1.0,97.0,50.0,45.0,25,0.430913806405983,0.0021858795480577515
5175,1.0,97.0,50.0,45.0,24,0.4620688830849867,0.0023903865111287665
5158,1.0,97.0,40.0,35.0,24,0.4458850092304526,0.0161862911861792
5170,1.0,97.0,40.0,45.0,21,0.4048372075304376,0.010445409190891238
5171,1.0,97.0,40.0,45.0,22,0.48997896074098657,0.009725431497513736
